"TIME","GEO","INDIC_IS","UNIT","IND_TYPE","Value"
"2011","European Union - 15 countries (1995-2004)","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","15"
"2011","European Union - 15 countries (1995-2004)","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","3"
"2011","European Union - 15 countries (1995-2004)","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","4"
"2011","European Union - 15 countries (1995-2004)","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","European Union - 15 countries (1995-2004)","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","1"
"2011","European Union - 15 countries (1995-2004)","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","4"
"2011","European Union - 15 countries (1995-2004)","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","5"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","68"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","94"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Frequency of internet access: daily","Percentage of individuals","All Individuals","57"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","79"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","11"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","15"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","3"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","4"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","1"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","4"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","6"
"2011","Belgium","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","78"
"2011","Belgium","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","96"
"2011","Belgium","Frequency of internet access: daily","Percentage of individuals","All Individuals","65"
"2011","Belgium","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","79"
"2011","Belgium","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","13"
"2011","Belgium","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","16"
"2011","Belgium","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","2"
"2011","Belgium","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","3"
"2011","Belgium","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","Belgium","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","1"
"2011","Belgium","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","3"
"2011","Belgium","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","3"
"2011","Bulgaria","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","46"
"2011","Bulgaria","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","97"
"2011","Bulgaria","Frequency of internet access: daily","Percentage of individuals","All Individuals","37"
"2011","Bulgaria","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","78"
"2011","Bulgaria","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","9"
"2011","Bulgaria","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","19"
"2011","Bulgaria","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","1"
"2011","Bulgaria","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","3"
"2011","Bulgaria","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","0"
"2011","Bulgaria","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","0"
"2011","Bulgaria","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","2"
"2011","Bulgaria","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","3"
"2011","Czechia","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","63"
"2011","Czechia","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","89"
"2011","Czechia","Frequency of internet access: daily","Percentage of individuals","All Individuals","41"
"2011","Czechia","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","58"
"2011","Czechia","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","22"
"2011","Czechia","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","31"
"2011","Czechia","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","7"
"2011","Czechia","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","10"
"2011","Czechia","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","Czechia","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","1"
"2011","Czechia","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","8"
"2011","Czechia","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","11"
"2011","Denmark","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","87"
"2011","Denmark","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","97"
"2011","Denmark","Frequency of internet access: daily","Percentage of individuals","All Individuals","78"
"2011","Denmark","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","87"
"2011","Denmark","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","9"
"2011","Denmark","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","11"
"2011","Denmark","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","2"
"2011","Denmark","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","2"
"2011","Denmark","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","0"
"2011","Denmark","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","0"
"2011","Denmark","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","2"
"2011","Denmark","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","3"
"2011","Germany (until 1990 former territory of the FRG)","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","77"
"2011","Germany (until 1990 former territory of the FRG)","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","94"
"2011","Germany (until 1990 former territory of the FRG)","Frequency of internet access: daily","Percentage of individuals","All Individuals","63"
"2011","Germany (until 1990 former territory of the FRG)","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","77"
"2011","Germany (until 1990 former territory of the FRG)","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","14"
"2011","Germany (until 1990 former territory of the FRG)","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","17"
"2011","Germany (until 1990 former territory of the FRG)","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","4"
"2011","Germany (until 1990 former territory of the FRG)","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","4"
"2011","Germany (until 1990 former territory of the FRG)","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","Germany (until 1990 former territory of the FRG)","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","1"
"2011","Germany (until 1990 former territory of the FRG)","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","5"
"2011","Germany (until 1990 former territory of the FRG)","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","6"
"2011","Estonia","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","73"
"2011","Estonia","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","96"
"2011","Estonia","Frequency of internet access: daily","Percentage of individuals","All Individuals","59"
"2011","Estonia","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","77"
"2011","Estonia","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","14"
"2011","Estonia","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","18"
"2011","Estonia","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","3"
"2011","Estonia","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","4"
"2011","Estonia","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","Estonia","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","1"
"2011","Estonia","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","3"
"2011","Estonia","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","4"
"2011","Ireland","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","71"
"2011","Ireland","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","95"
"2011","Ireland","Frequency of internet access: daily","Percentage of individuals","All Individuals","55"
"2011","Ireland","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","74"
"2011","Ireland","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","16"
"2011","Ireland","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","22"
"2011","Ireland","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","3"
"2011","Ireland","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","4"
"2011","Ireland","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","Ireland","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","1"
"2011","Ireland","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","3"
"2011","Ireland","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","5"
"2011","Greece","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","47"
"2011","Greece","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","92"
"2011","Greece","Frequency of internet access: daily","Percentage of individuals","All Individuals","37"
"2011","Greece","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","72"
"2011","Greece","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","10"
"2011","Greece","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","20"
"2011","Greece","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","3"
"2011","Greece","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","6"
"2011","Greece","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","Greece","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","2"
"2011","Greece","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","4"
"2011","Greece","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","8"
"2011","Spain","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","61"
"2011","Spain","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","92"
"2011","Spain","Frequency of internet access: daily","Percentage of individuals","All Individuals","47"
"2011","Spain","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","71"
"2011","Spain","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","14"
"2011","Spain","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","21"
"2011","Spain","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","4"
"2011","Spain","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","5"
"2011","Spain","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","2"
"2011","Spain","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","3"
"2011","Spain","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","5"
"2011","Spain","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","8"
"2011","France","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","74"
"2011","France","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","95"
"2011","France","Frequency of internet access: daily","Percentage of individuals","All Individuals","62"
"2011","France","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","79"
"2011","France","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","13"
"2011","France","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","16"
"2011","France","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","3"
"2011","France","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","3"
"2011","France","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","France","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","1"
"2011","France","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","4"
"2011","France","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","5"
"2011","Croatia","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","55"
"2011","Croatia","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","95"
"2011","Croatia","Frequency of internet access: daily","Percentage of individuals","All Individuals","44"
"2011","Croatia","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","77"
"2011","Croatia","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","11"
"2011","Croatia","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","19"
"2011","Croatia","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","2"
"2011","Croatia","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","4"
"2011","Croatia","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","Croatia","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","1"
"2011","Croatia","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","3"
"2011","Croatia","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","5"
"2011","Italy","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","51"
"2011","Italy","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","93"
"2011","Italy","Frequency of internet access: daily","Percentage of individuals","All Individuals","49"
"2011","Italy","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","90"
"2011","Italy","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","2"
"2011","Italy","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","3"
"2011","Italy","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","3"
"2011","Italy","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","5"
"2011","Italy","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","Italy","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","1"
"2011","Italy","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","4"
"2011","Italy","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","7"
"2011","Cyprus","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","54"
"2011","Cyprus","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","95"
"2011","Cyprus","Frequency of internet access: daily","Percentage of individuals","All Individuals","45"
"2011","Cyprus","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","78"
"2011","Cyprus","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","9"
"2011","Cyprus","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","16"
"2011","Cyprus","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","2"
"2011","Cyprus","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","4"
"2011","Cyprus","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","Cyprus","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","1"
"2011","Cyprus","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","3"
"2011","Cyprus","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","5"
"2011","Latvia","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","66"
"2011","Latvia","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","95"
"2011","Latvia","Frequency of internet access: daily","Percentage of individuals","All Individuals","53"
"2011","Latvia","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","76"
"2011","Latvia","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","13"
"2011","Latvia","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","18"
"2011","Latvia","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","3"
"2011","Latvia","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","5"
"2011","Latvia","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","0"
"2011","Latvia","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","0"
"2011","Latvia","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","4"
"2011","Latvia","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","5"
"2011","Lithuania","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","60"
"2011","Lithuania","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","96"
"2011","Lithuania","Frequency of internet access: daily","Percentage of individuals","All Individuals","47"
"2011","Lithuania","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","75"
"2011","Lithuania","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","13"
"2011","Lithuania","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","21"
"2011","Lithuania","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","2"
"2011","Lithuania","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","4"
"2011","Lithuania","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","0"
"2011","Lithuania","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","0"
"2011","Lithuania","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","3"
"2011","Lithuania","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","4"
"2011","Luxembourg","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","86"
"2011","Luxembourg","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","96"
"2011","Luxembourg","Frequency of internet access: daily","Percentage of individuals","All Individuals","76"
