TIME;TIME;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;
European Union - 25 countries (2004-2006);Individuals, 55 to 64 years old;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 25 countries (2004-2006);Individuals, 65 to 74 years old;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 25 countries (2004-2006);Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 25 countries (2004-2006);Individuals with no or low formal education;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 25 countries (2004-2006);Individuals with medium formal education;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 25 countries (2004-2006);Individuals with high formal education;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 15 countries (1995-2004);All Individuals;19;;25;;24;;28;;28;;32;;39;;42;;:;;:;
European Union - 15 countries (1995-2004);Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 15 countries (1995-2004);Individuals, 16 to 24 years old;33;;41;;42;;44;;44;;51;;61;;63;;:;;:;
European Union - 15 countries (1995-2004);Individuals, 25 to 34 years old;28;;37;;35;;40;;40;;43;;52;;56;;:;;:;
European Union - 15 countries (1995-2004);Individuals, 35 to 44 years old;20;;27;;26;;30;;31;;35;;43;;48;;:;;:;
European Union - 15 countries (1995-2004);Individuals, 45 to 54 years old;15;;20;;19;;22;;24;;28;;34;;38;;:;;:;
European Union - 15 countries (1995-2004);Individuals, 55 to 64 years old;12;;15;;15;;18;;20;;22;;27;;30;;:;;:;
European Union - 15 countries (1995-2004);Individuals, 65 to 74 years old;7;;9;;10;;12;;13;;15;;18;;21;;:;;:;
European Union - 15 countries (1995-2004);Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 15 countries (1995-2004);Individuals with no or low formal education;12;;15;;16;;18;;18;;21;;26;;30;;:;;:;
European Union - 15 countries (1995-2004);Individuals with medium formal education;20;;25;;23;;26;;28;;31;;40;;43;;:;;:;
European Union - 15 countries (1995-2004);Individuals with high formal education;29;;37;;36;;41;;41;;45;;50;;53;;:;;:;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);All Individuals;19;;23;;24;;27;;27;;29;;36;;41;;52;;64;e
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Individuals, 16 to 24 years old;33;;40;;42;;45;;44;;49;;58;;63;;76;;84;e
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Individuals, 25 to 34 years old;29;;34;;34;;39;;38;;40;;49;;54;;66;;80;e
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Individuals, 35 to 44 years old;20;;25;;25;;29;;28;;31;;40;;45;;59;;72;e
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Individuals, 45 to 54 years old;15;;18;;19;;22;;22;;24;;33;;37;;49;;63;e
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Individuals, 55 to 64 years old;12;;14;;14;;17;;18;;19;;26;;29;;39;;52;e
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Individuals, 65 to 74 years old;6;;8;;9;;11;;11;;12;;16;;19;;26;;35;e
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Individuals with no or low formal education;12;;15;;16;;18;;17;;20;;26;;30;;42;;53;e
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Individuals with medium formal education;20;;23;;23;;26;;26;;28;;37;;42;;52;;63;e
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Individuals with high formal education;29;;35;;35;;41;;39;;41;;47;;51;;63;;76;e
Belgium;All Individuals;19;;26;;31;;36;;36;;38;;41;;39;;58;;68;
Belgium;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Belgium;Individuals, 16 to 24 years old;34;;42;;51;;61;;54;;59;;60;;56;;76;;85;
Belgium;Individuals, 25 to 34 years old;25;;36;;40;;48;;49;;50;;54;;50;;70;;78;
Belgium;Individuals, 35 to 44 years old;18;;27;;31;;39;;41;;43;;45;;47;;66;;76;
Belgium;Individuals, 45 to 54 years old;18;;22;;25;;27;;29;;33;;38;;32;;57;;66;
Belgium;Individuals, 55 to 64 years old;13;;15;;20;;23;;25;;23;;27;;29;;46;;58;
Belgium;Individuals, 65 to 74 years old;8;;10;;15;;15;;15;;18;;19;;19;;31;;40;
Belgium;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Belgium;Individuals with no or low formal education;12;;16;;22;;27;;26;;27;;30;;28;;46;;54;
Belgium;Individuals with medium formal education;20;;27;;29;;34;;35;;36;;39;;39;;57;;67;
Belgium;Individuals with high formal education;27;;35;;41;;47;;47;;50;;51;;49;;69;;78;
Bulgaria;All Individuals;26;;40;;34;;46;;47;;48;;54;;54;;58;;59;
Bulgaria;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Bulgaria;Individuals, 16 to 24 years old;51;;72;;54;;78;;76;;79;;81;;83;;81;;84;
Bulgaria;Individuals, 25 to 34 years old;40;;59;;51;;68;;71;;70;;77;;76;;81;;81;
Bulgaria;Individuals, 35 to 44 years old;31;;49;;44;;58;;59;;61;;69;;68;;73;;73;
Bulgaria;Individuals, 45 to 54 years old;23;;33;;30;;40;;42;;44;;56;;54;;61;;62;
Bulgaria;Individuals, 55 to 64 years old;13;;19;;19;;24;;26;;28;;34;;35;;39;;41;
Bulgaria;Individuals, 65 to 74 years old;4;;6;;6;;8;;9;;10;;13;;14;;16;;19;
Bulgaria;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Bulgaria;Individuals with no or low formal education;11;;16;;14;;21;;22;;24;;28;;32;;33;;36;
Bulgaria;Individuals with medium formal education;27;;40;;33;;46;;45;;49;;54;;54;;59;;58;
Bulgaria;Individuals with high formal education;45;;69;;60;;74;;74;;71;;81;;78;;80;;81;
Czechia;All Individuals;34;;40;;39;;36;;33;;33;;36;;42;b;45;;52;
Czechia;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Czechia;Individuals, 16 to 24 years old;62;;67;;70;;66;;59;;58;;64;;70;b;74;;79;
Czechia;Individuals, 25 to 34 years old;48;;57;;56;;52;;45;;45;;50;;58;b;64;;70;
Czechia;Individuals, 35 to 44 years old;39;;44;;45;;38;;33;;35;;39;;51;b;55;;61;
Czechia;Individuals, 45 to 54 years old;26;;32;;32;;28;;28;;30;;30;;41;b;40;;52;
Czechia;Individuals, 55 to 64 years old;15;;23;;23;;22;;19;;20;;22;;25;b;28;;37;
Czechia;Individuals, 65 to 74 years old;10;;10;;10;;14;;15;;16;;15;;15;b;16;;18;
Czechia;Individuals, 75 years old or more;2;;0;;2;;3;;2;;3;;:;u;:;;:;;:;
Czechia;Individuals with no or low formal education;32;;35;;35;;33;;34;;29;;32;;40;b;45;;49;
Czechia;Individuals with medium formal education;30;;37;;36;;32;;29;;31;b;32;;37;b;41;;47;
Czechia;Individuals with high formal education;59;;58;;59;;54;;48;;46;b;50;;62;b;59;;69;
Denmark;All Individuals;34;;40;;37;;47;;44;;58;;60;;67;;56;b;70;
Denmark;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Denmark;Individuals, 16 to 24 years old;43;;55;;49;;63;;58;;80;;80;;87;;75;b;93;
Denmark;Individuals, 25 to 34 years old;42;;53;;47;;61;;54;;73;;77;;79;;69;b;84;
Denmark;Individuals, 35 to 44 years old;40;;45;;45;;47;;50;;65;;67;;71;;63;b;78;
Denmark;Individuals, 45 to 54 years old;33;;37;;33;;46;;42;;54;;58;;65;;57;b;68;
Denmark;Individuals, 55 to 64 years old;24;;28;;28;;36;;33;;44;;47;;58;;43;b;57;
Denmark;Individuals, 65 to 74 years old;20;;22;;22;;30;;28;;31;;29;;44;;29;b;37;
Denmark;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Denmark;Individuals with no or low formal education;31;;39;;35;;47;;:;u;59;;53;b;61;;50;b;63;
Denmark;Individuals with medium formal education;31;;35;;33;;41;;:;u;51;;57;b;65;;52;b;67;
Denmark;Individuals with high formal education;42;;46;;45;;55;;:;u;65;;69;b;75;;66;b;79;
Germany (until 1990 former territory of the FRG);All Individuals;18;;22;;23;;24;;27;;28;;49;;53;;55;;65;
Germany (until 1990 former territory of the FRG);Individuals, 15 years old or less;23;;32;;:;;:;;:;;:;;:;;:;;:;;:;
Germany (until 1990 former territory of the FRG);Individuals, 16 to 24 years old;35;;39;;43;;43;;47;;50;;76;;77;;81;;87;
Germany (until 1990 former territory of the FRG);Individuals, 25 to 34 years old;27;;33;;33;;35;;37;;37;;58;;60;;64;;81;
Germany (until 1990 former territory of the FRG);Individuals, 35 to 44 years old;18;;23;;23;;24;;29;;28;;52;;57;;59;;71;
Germany (until 1990 former territory of the FRG);Individuals, 45 to 54 years old;15;;17;;19;;19;;23;;24;;47;;50;;53;;61;
Germany (until 1990 former territory of the FRG);Individuals, 55 to 64 years old;11;;13;;15;;16;;18;;20;;37;;43;;43;;52;
Germany (until 1990 former territory of the FRG);Individuals, 65 to 74 years old;7;;8;;10;;10;;12;;14;;26;;32;;32;;38;
Germany (until 1990 former territory of the FRG);Individuals, 75 years old or more;2;;3;;:;;:;;:;;:;;:;;:;;:;;:;
Germany (until 1990 former territory of the FRG);Individuals with no or low formal education;20;;24;;25;;26;;29;;31;;52;;56;;59;;66;
Germany (until 1990 former territory of the FRG);Individuals with medium formal education;16;;19;;19;;20;;24;;24;;46;;50;;52;;61;
Germany (until 1990 former territory of the FRG);Individuals with high formal education;22;;27;;30;;32;;35;;36;;53;;55;;59;;73;
Estonia;All Individuals;38;;46;;47;;43;b;41;;41;;44;;44;;53;;63;
Estonia;Individuals, 15 years old or less;50;;63;;69;;:;;:;;:;;:;;:;;:;;:;
Estonia;Individuals, 16 to 24 years old;60;;64;;70;;57;b;50;;57;;62;;61;;73;;86;
Estonia;Individuals, 25 to 34 years old;56;;65;;66;;59;b;48;;50;;57;;57;;68;;85;
Estonia;Individuals, 35 to 44 years old;41;;54;;53;;43;b;47;;48;;49;;50;;62;;74;
Estonia;Individuals, 45 to 54 years old;31;;38;;42;;41;b;39;;38;;39;;43;;49;;60;
Estonia;Individuals, 55 to 64 years old;22;;32;;32;;32;b;34;;33;;33;;32;;41;;44;
Estonia;Individuals, 65 to 74 years old;8;;13;;15;;18;b;25;;20;;23;;21;;25;;28;
Estonia;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Estonia;Individuals with no or low formal education;31;;32;;38;;33;b;32;;29;;43;;41;;52;;63;
Estonia;Individuals with medium formal education;34;;42;;43;;38;b;37;;39;;40;;40;;50;;55;
Estonia;Individuals with high formal education;48;;59;;58;;54;b;49;;49;;49;;50;;58;;73;
Ireland;All Individuals;21;;29;;26;;29;;29;;35;;39;;38;;46;;67;
Ireland;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Ireland;Individuals, 16 to 24 years old;25;;37;;31;;36;;33;;55;;63;;54;;60;;:;u
Ireland;Individuals, 25 to 34 years old;31;;42;;40;;43;;47;;49;;56;;50;;61;;89;
Ireland;Individuals, 35 to 44 years old;25;;33;;31;;33;;32;;39;;47;;51;;52;;77;
Ireland;Individuals, 45 to 54 years old;17;;23;;19;;23;;22;;25;;33;;32;;41;;72;
Ireland;Individuals, 55 to 64 years old;11;;17;;16;;16;;17;;20;;26;;24;;31;;59;
Ireland;Individuals, 65 to 74 years old;8;;10;;8;;10;;12;;13;;16;;13;;22;;45;
Ireland;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;19;u
Ireland;Individuals with no or low formal education;9;;13;;9;;12;;10;;14;;17;;15;;25;;48;
Ireland;Individuals with medium formal education;20;;28;;24;;25;;27;;34;;39;;42;;43;;68;
Ireland;Individuals with high formal education;36;;46;;44;;49;;47;;49;;55;;52;;60;;75;
Greece;All Individuals;16;;21;;26;;28;;29;;32;;33;;44;;51;;57;
Greece;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Greece;Individuals, 16 to 24 years old;38;;45;;53;;53;;56;;62;;61;;75;;83;;84;
Greece;Individuals, 25 to 34 years old;32;;34;;40;;46;;47;;51;;55;;67;;69;;80;
Greece;Individuals, 35 to 44 years old;15;;22;;31;;32;;33;;35;;37;;54;;64;;70;
Greece;Individuals, 45 to 54 years old;7;;14;;17;;22;;23;;27;;30;;41;;49;;58;
Greece;Individuals, 55 to 64 years old;4;;6;;9;;13;;15;;16;;18;;26;;33;;37;
Greece;Individuals, 65 to 74 years old;1;;2;;3;;5;;6;;6;;6;;8;;14;;17;
Greece;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Greece;Individuals with no or low formal education;5;;7;;10;;12;;11;;14;;13;;16;;26;;31;
Greece;Individuals with medium formal education;19;;23;;28;;30;;34;;34;;37;;51;;57;;62;
Greece;Individuals with high formal education;30;;35;;44;;47;;44;;50;;53;;65;;67;;74;
Spain;All Individuals;15;;23;;20;;24;;23;;25;;30;;33;;55;;78;
Spain;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Spain;Individuals, 16 to 24 years old;30;;41;;36;;41;;41;;45;;51;;54;;80;;94;
Spain;Individuals, 25 to 34 years old;24;;35;;30;;36;;32;;35;;43;;46;;67;;91;
Spain;Individuals, 35 to 44 years old;16;;26;;23;;27;;24;;30;;33;;37;;61;;86;
Spain;Individuals, 45 to 54 years old;10;;14;;16;;20;;20;;21;;26;;28;;53;;79;
Spain;Individuals, 55 to 64 years old;7;;10;;10;;14;;13;;16;;18;;22;;43;;68;
Spain;Individuals, 65 to 74 years old;3;;5;;5;;6;;8;;7;;11;;14;;28;;47;
Spain;Individuals, 75 years old or more;0;n;1;;1;;1;;2;;2;;3;;4;;9;;17;
Spain;Individuals with no or low formal education;7;;12;;10;;12;;11;;14;;19;;22;;43;;64;
Spain;Individuals with medium formal education;20;;29;;25;;30;;28;;31;;35;;38;;61;;82;
Spain;Individuals with high formal education;25;;34;;32;;38;;34;;37;;40;;43;;65;;89;
France;All Individuals;19;;23;;24;;:;u;26;;29;;29;;31;;48;;:;
France;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
France;Individuals, 16 to 24 years old;28;;37;;44;;:;u;40;;49;;47;;53;;70;;:;
France;Individuals, 25 to 34 years old;24;;30;;29;;:;u;32;;36;;35;;40;;65;;:;
France;Individuals, 35 to 44 years old;19;;23;;24;;:;u;25;;28;;31;;31;;54;;:;
France;Individuals, 45 to 54 years old;15;;21;;18;;:;u;22;;24;;24;;24;;43;;:;
France;Individuals, 55 to 64 years old;15;;17;;16;;:;u;20;;21;;22;;21;;34;;:;
France;Individuals, 65 to 74 years old;10;;10;;13;;:;u;16;;17;;15;;16;;24;;:;
France;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
France;Individuals with no or low formal education;13;;16;;19;;:;u;19;;21;;22;;22;;38;;:;
France;Individuals with medium formal education;19;;22;;22;;:;u;22;;26;;25;;28;;45;;:;
France;Individuals with high formal education;27;;34;;33;;:;u;38;;40;;40;;42;;60;;:;
Croatia;All Individuals;14;;26;;23;;26;;30;;33;;42;;52;;48;;57;
Croatia;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Croatia;Individuals, 16 to 24 years old;31;;55;;47;;44;;49;;58;;78;;82;;72;;90;
Croatia;Individuals, 25 to 34 years old;27;;43;;27;;39;;42;;50;;66;;69;;67;;75;
Croatia;Individuals, 35 to 44 years old;16;;28;;29;;32;;33;;41;;52;;66;;53;;69;
Croatia;Individuals, 45 to 54 years old;8;;19;;18;;20;;28;;26;;45;;53;;47;;59;
Croatia;Individuals, 55 to 64 years old;4;;9;;10;;14;;20;;19;;26;;35;;37;;41;
Croatia;Individuals, 65 to 74 years old;1;;4;;5;;7;;9;;8;;10;;18;;16;;19;
Croatia;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Croatia;Individuals with no or low formal education;7;;15;;12;;16;;11;;12;;11;;27;;26;;27;
Croatia;Individuals with medium formal education;16;;27;;25;;28;;32;;34;;46;;59;;50;;65;
Croatia;Individuals with high formal education;26;;44;;32;;38;;47;;54;;50;;63;;66;;76;
Italy;All Individuals;17;;18;;21;;24;;22;;24;;28;;35;;49;;65;
Italy;Individuals, 15 years old or less;20;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Italy;Individuals, 16 to 24 years old;31;;35;;38;;42;;39;;40;;46;;57;;73;;86;
Italy;Individuals, 25 to 34 years old;29;;30;;33;;38;;36;;38;;42;;54;;67;;82;
Italy;Individuals, 35 to 44 years old;21;;20;;25;;28;;24;;28;;33;;43;;58;;77;
Italy;Individuals, 45 to 54 years old;13;;14;;16;;20;;19;;20;;24;;31;;47;;66;
Italy;Individuals, 55 to 64 years old;9;;9;;11;;14;;14;;15;;18;;22;;36;;54;
Italy;Individuals, 65 to 74 years old;3;;4;;5;;5;;7;;7;;8;;11;;20;;30;
Italy;Individuals, 75 years old or more;0;n;1;;1;;1;;1;;2;;2;;3;;5;;8;
Italy;Individuals with no or low formal education;9;;9;;11;;13;;12;;14;;17;;25;;37;;48;
Italy;Individuals with medium formal education;23;;23;;26;;29;;26;;27;;32;;39;;55;;73;
Italy;Individuals with high formal education;34;;35;;38;;43;;43;;41;;46;;53;;65;;83;
Cyprus;All Individuals;30;;35;;38;;41;;45;;54;;57;;63;;72;;85;
Cyprus;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Cyprus;Individuals, 16 to 24 years old;62;;61;;58;;67;;67;;81;;76;;86;;96;;99;
Cyprus;Individuals, 25 to 34 years old;40;;45;;54;;57;;59;;71;;72;;77;;90;;98;
Cyprus;Individuals, 35 to 44 years old;26;;40;;39;;43;;46;;62;;67;;73;;81;;97;
Cyprus;Individuals, 45 to 54 years old;21;;27;;29;;34;;37;;48;;50;;61;;68;;87;
Cyprus;Individuals, 55 to 64 years old;9;;12;;17;;17;;26;;28;;35;;39;;52;;71;
Cyprus;Individuals, 65 to 74 years old;4;;10;;9;;9;;15;;18;;21;;24;;29;;43;
Cyprus;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Cyprus;Individuals with no or low formal education;15;;16;;18;;20;;24;;31;;33;;41;;43;;65;
Cyprus;Individuals with medium formal education;31;;32;;36;;39;;45;;54;;56;;63;;74;;85;
Cyprus;Individuals with high formal education;44;;53;;58;;60;;63;;74;;74;;77;;86;;97;
Latvia;All Individuals;41;;45;;45;;43;;44;;41;b;42;;52;;57;;61;
Latvia;Individuals, 15 years old or less;73;;72;u;59;;66;u;44;;:;;:;;:;;:;;:;
Latvia;Individuals, 16 to 24 years old;76;;79;;73;;70;;67;;55;b;60;;77;;79;;80;
Latvia;Individuals, 25 to 34 years old;60;;65;;66;;63;;61;;53;b;56;;71;;77;;77;
Latvia;Individuals, 35 to 44 years old;45;;50;;49;;46;;45;;44;b;46;;59;;64;;74;
Latvia;Individuals, 45 to 54 years old;32;;36;;39;;38;;42;;39;b;41;;49;;57;;61;
Latvia;Individuals, 55 to 64 years old;20;;24;;30;;30;;33;;31;b;29;;36;;40;;49;
Latvia;Individuals, 65 to 74 years old;7;;9;;12;;16;;18;;21;b;19;;22;;26;;29;
Latvia;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Latvia;Individuals with no or low formal education;33;;39;;33;;32;;31;;31;b;36;;47;b;46;;51;
Latvia;Individuals with medium formal education;38;;40;;40;;40;;39;;38;b;38;;46;b;53;;58;
Latvia;Individuals with high formal education;55;;59;;60;;55;;58;;50;b;51;;66;b;68;;70;
Lithuania;All Individuals;43;;47;;48;;57;;51;;52;;55;;59;;61;;64;
Lithuania;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Lithuania;Individuals, 16 to 24 years old;77;;82;;76;;86;;74;;72;;73;;83;;84;;87;
Lithuania;Individuals, 25 to 34 years old;64;;68;;73;;80;;70;;70;;74;;80;;83;;87;
Lithuania;Individuals, 35 to 44 years old;45;;53;;54;;67;;58;;61;;64;;68;;71;;77;
Lithuania;Individuals, 45 to 54 years old;34;;39;;39;;51;;48;;48;;50;;56;;59;;61;
Lithuania;Individuals, 55 to 64 years old;22;;22;;27;;37;;35;;36;;42;;43;;46;;46;
Lithuania;Individuals, 65 to 74 years old;6;;7;;9;;15;;14;;16;;24;;24;;23;;29;
Lithuania;Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Lithuania;Individuals with no or low formal education;31;;32;;34;;45;;38;;38;;44;;50;;54;;55;
Lithuania;Individuals with medium formal education;36;;41;;39;;48;;43;;43;;45;;48;;51;;52;
Lithuania;Individuals with high formal education;65;;67;;70;;77;;69;;70;;72;;76;;76;;80;
Luxembourg;All Individuals;31;;36;;43;;40;;46;;53;;55;;47;b;53;;76;
Luxembourg;Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Luxembourg;Individuals, 16 to 24 years old;37;;40;;55;;44;;52;;70;;65;;59;b;68;;84;
Luxembourg;Individuals, 25 to 34 years old;37;;36;;51;;42;;47;;61;;60;;53;b;66;;88;
